==4149== Lackey, an example Valgrind tool
==4149== Copyright (C) 2002-2013, and GNU GPL'd, by Nicholas Nethercote.
==4149== Using Valgrind-3.10.0.SVN and LibVEX; rerun with -h for copyright info
==4149== Command: ./quicksort
I  040049dc,6
 S 04021710,4
I  040049e2,2
I  040049e4,6
 S 04021540,4
I  040049ea,6
I  040049f0,4
 S bec690d4,4
I  040049f4,3
 L bec690f4,4
I  040049f7,6
 S 04021544,4
I  040049fd,6
 S 04020f2c,4
I  04004a03,3
 S bec690d0,4
I  04004a06,5
 S bec690cc,4
I  04014d90,1
 S bec690c8,4
I  04014d91,1
 S bec690c4,4
I  04014d92,1
 S bec690c0,4
I  04014d93,1
 S bec690bc,4
I  04014d94,3
I  04014d97,4
 L bec690d0,4
I  04014d9b,5
 S bec6905c,4
I  040187a8,3
 L bec6905c,4
I  040187ab,1
 L bec6905c,4
I  04014da0,6
I  04014da6,2
 L bec69140,4
I  04014da8,6
 S 04020f2c,4
I  04014dae,3
I  04014db1,6
 S 04020f04,4
I  04014db7,4
I  04014dbb,6
 S 04020f00,4
I  04014dc1,6
 S 0402191c,4
I  04014dc7,2
 L bec6914c,4
I  04014dc9,2
I  04014dcb,2
I  04014dcd,3
I  04014dd0,3
I  04014dd3,2
 L bec69150,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69154,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69158,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec6915c,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69160,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69164,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69168,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec6916c,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69170,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69174,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69178,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec6917c,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69180,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69184,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69188,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec6918c,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69190,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69194,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69198,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec6919c,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691a0,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691a4,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691a8,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691ac,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691b0,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691b4,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691b8,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691bc,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691c0,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691c4,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691c8,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691cc,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691d0,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691d4,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691d8,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691dc,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691e0,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691e4,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691e8,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691ec,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691f0,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691f4,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691f8,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec691fc,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69200,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69204,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69208,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec6920c,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69210,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69214,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69218,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec6921c,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69220,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69224,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69228,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec6922c,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69230,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69234,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69238,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec6923c,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69240,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
I  04014dd3,2
 L bec69244,4
I  04014dd5,2
I  04014dd7,2
I  04014dd0,3
